<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20090331;000000;1508.3800000;1562.6400000;1506.2600000;1521.3400000;33244277844
RI.MICEX10INDEX;D;20090401;000000;1525.1200000;1541.0400000;1482.9000000;1540.4400000;30008103842
RI.MICEX10INDEX;D;20090402;000000;1584.6400000;1636.4600000;1581.9900000;1636.0700000;42457046826
RI.MICEX10INDEX;D;20090403;000000;1638.0100000;1654.4500000;1602.7900000;1625.1600000;37806327432
RI.MICEX10INDEX;D;20090406;000000;1649.0500000;1709.9500000;1606.3800000;1619.3000000;45795042984
RI.MICEX10INDEX;D;20090407;000000;1621.6600000;1661.5600000;1577.1100000;1631.8800000;36071113704
RI.MICEX10INDEX;D;20090408;000000;1601.1300000;1688.3500000;1589.5800000;1688.3000000;45893497117
RI.MICEX10INDEX;D;20090409;000000;1721.8400000;1789.2600000;1706.2500000;1783.4200000;58678640538
RI.MICEX10INDEX;D;20090410;000000;1792.4200000;1806.8000000;1750.4300000;1795.0000000;28788589453
RI.MICEX10INDEX;D;20090413;000000;1791.7800000;1799.7600000;1752.8500000;1756.5100000;28487104241
RI.MICEX10INDEX;D;20090414;000000;1762.8300000;1850.6300000;1733.7300000;1794.7400000;70379067418
RI.MICEX10INDEX;D;20090415;000000;1778.5200000;1791.7800000;1735.7200000;1760.0300000;39436447862
RI.MICEX10INDEX;D;20090416;000000;1784.4400000;1803.3700000;1771.0600000;1791.4400000;44743025361
RI.MICEX10INDEX;D;20090417;000000;1795.2300000;1838.9100000;1795.2300000;1824.8600000;29720949642
RI.MICEX10INDEX;D;20090420;000000;1832.7600000;1833.1900000;1722.1300000;1727.6100000;32825436433
RI.MICEX10INDEX;D;20090421;000000;1720.5000000;1761.2700000;1679.2300000;1711.0800000;40334234185
RI.MICEX10INDEX;D;20090422;000000;1727.3400000;1765.3300000;1707.8900000;1763.8700000;39143140471
RI.MICEX10INDEX;D;20090423;000000;1766.0200000;1813.9000000;1749.9400000;1802.3700000;46692788851
RI.MICEX10INDEX;D;20090424;000000;1802.8800000;1811.7000000;1770.0700000;1776.0400000;40505903389
RI.MICEX10INDEX;D;20090427;000000;1763.1100000;1764.0200000;1711.5100000;1741.6100000;29404033507
RI.MICEX10INDEX;D;20090428;000000;1725.1100000;1725.1100000;1671.7300000;1705.9800000;29803076863
RI.MICEX10INDEX;D;20090429;000000;1711.0400000;1789.6500000;1695.3100000;1789.1800000;35739411951
RI.MICEX10INDEX;D;20090430;000000;1809.0200000;1842.7600000;1796.7700000;1802.8800000;35381676829
RI.MICEX10INDEX;D;20090504;000000;1832.2000000;1919.2900000;1832.2000000;1917.2500000;34345192834
RI.MICEX10INDEX;D;20090505;000000;1925.8000000;1963.5000000;1897.8000000;1917.0400000;43227804803
RI.MICEX10INDEX;D;20090506;000000;1908.4500000;1975.6300000;1881.7100000;1964.6500000;44761665669
RI.MICEX10INDEX;D;20090507;000000;1989.7400000;2104.2800000;1989.7400000;2030.4100000;74624599828
RI.MICEX10INDEX;D;20090508;000000;2049.8100000;2087.7900000;2045.2400000;2083.5600000;42209575993
